gamma,lr_policy,lr_baseline,baseline,hidden,best_score
0.99,0.01,0.0001,dynamic,32,26.07
0.99,0.01,0.0001,dynamic,64,526.11
0.99,0.01,0.0001,dynamic,128,160.18
0.99,0.01,0.0005,0,32,11.74
0.99,0.01,0.0005,0,64,94.21
0.99,0.01,0.0005,0,128,50.66
0.99,0.01,0.0005,20,32,252.26
0.99,0.01,0.0005,20,64,220.49
0.99,0.01,0.0005,20,128,230.1
0.99,0.01,0.0005,dynamic,32,123.76
0.99,0.01,0.0005,dynamic,64,21.46
0.99,0.01,0.0005,dynamic,128,79.83
0.99,0.01,0.01,0,32,12.08
0.99,0.01,0.01,0,64,10.09
0.99,0.01,0.01,0,128,9.28
0.99,0.01,0.01,20,32,169.21
0.99,0.01,0.01,20,64,57.11
0.99,0.01,0.01,20,128,79.07
0.99,0.01,0.01,dynamic,32,127.22
0.99,0.01,0.01,dynamic,64,13.84
0.99,0.01,0.01,dynamic,128,56.21
0.995,0.001,0.001,0,32,71.03
0.995,0.001,0.001,0,64,7.53
0.995,0.001,0.001,0,128,13.93
0.995,0.001,0.001,20,32,175.09
0.995,0.001,0.001,20,64,151.4
0.995,0.001,0.001,20,128,156.09
0.995,0.001,0.001,dynamic,32,65.09
0.995,0.001,0.001,dynamic,64,88.72
0.995,0.001,0.001,dynamic,128,9.15
0.995,0.001,0.0001,0,32,20.76
0.995,0.001,0.0001,0,64,7.6
0.995,0.001,0.0001,0,128,13.73
0.995,0.001,0.0001,20,32,169.71
0.995,0.001,0.0001,20,64,180.15
0.995,0.001,0.0001,20,128,203.88
0.995,0.001,0.0001,dynamic,32,27.05
0.995,0.001,0.0001,dynamic,64,22.79
0.995,0.001,0.0001,dynamic,128,7.99
0.995,0.001,0.0005,0,32,45.31
0.995,0.001,0.0005,0,64,8.23
0.995,0.001,0.0005,0,128,88.66
0.995,0.001,0.0005,20,32,147.93
0.995,0.001,0.0005,20,64,198.0
0.995,0.001,0.0005,20,128,118.6
0.995,0.001,0.0005,dynamic,32,82.07
0.995,0.001,0.0005,dynamic,64,65.87
0.995,0.001,0.0005,dynamic,128,10.98
0.995,0.001,0.01,0,32,9.06
0.995,0.001,0.01,0,64,16.51
0.995,0.001,0.01,0,128,73.0
0.995,0.001,0.01,20,32,151.45
0.995,0.001,0.01,20,64,170.54
0.995,0.001,0.01,20,128,155.35
0.995,0.001,0.01,dynamic,32,183.02
0.995,0.001,0.01,dynamic,64,66.18
0.995,0.001,0.01,dynamic,128,140.61
0.995,0.0001,0.001,0,32,58.87
0.995,0.0001,0.001,0,64,52.97
0.995,0.0001,0.001,0,128,9.09
0.995,0.0001,0.001,20,32,146.05
0.995,0.0001,0.001,20,64,143.68
0.995,0.0001,0.001,20,128,503.13
0.995,0.0001,0.001,dynamic,32,89.7
0.995,0.0001,0.001,dynamic,64,112.39
0.995,0.0001,0.001,dynamic,128,170.82
0.995,0.0001,0.0001,0,32,100.45
0.995,0.0001,0.0001,0,64,40.93
0.995,0.0001,0.0001,0,128,99.39
0.995,0.0001,0.0001,20,32,93.92
0.995,0.0001,0.0001,20,64,118.55
0.995,0.0001,0.0001,20,128,128.6
0.995,0.0001,0.0001,dynamic,32,62.73
0.995,0.0001,0.0001,dynamic,64,13.7
0.995,0.0001,0.0001,dynamic,128,206.03
0.995,0.0001,0.0005,0,32,122.13
0.995,0.0001,0.0005,0,64,139.75
0.995,0.0001,0.0005,0,128,13.58
0.995,0.0001,0.0005,20,32,183.0
0.995,0.0001,0.0005,20,64,146.41
0.995,0.0001,0.0005,20,128,126.65
0.995,0.0001,0.0005,dynamic,32,67.98
0.995,0.0001,0.0005,dynamic,64,134.03
0.995,0.0001,0.0005,dynamic,128,182.63
0.995,0.0001,0.01,0,32,90.02
0.995,0.0001,0.01,0,64,37.51
0.995,0.0001,0.01,0,128,31.47
0.995,0.0001,0.01,20,32,145.94
0.995,0.0001,0.01,20,64,179.77
0.995,0.0001,0.01,20,128,182.91
0.995,0.0001,0.01,dynamic,32,184.5
0.995,0.0001,0.01,dynamic,64,281.95
0.995,0.0001,0.01,dynamic,128,181.99
0.995,0.0005,0.001,0,32,53.33
0.995,0.0005,0.001,0,64,22.09
0.995,0.0005,0.001,0,128,8.9
0.995,0.0005,0.001,20,32,134.67
0.995,0.0005,0.001,20,64,158.05
0.995,0.0005,0.001,20,128,133.61
0.995,0.0005,0.001,dynamic,32,128.02
0.995,0.0005,0.001,dynamic,64,213.41
0.995,0.0005,0.001,dynamic,128,82.9
0.995,0.0005,0.0001,0,32,87.44
0.995,0.0005,0.0001,0,64,11.29
0.995,0.0005,0.0001,0,128,10.5
0.995,0.0005,0.0001,20,32,169.1
0.995,0.0005,0.0001,20,64,162.25
0.995,0.0005,0.0001,20,128,46.98
0.995,0.0005,0.0001,dynamic,32,44.14
0.995,0.0005,0.0001,dynamic,64,38.33
0.995,0.0005,0.0001,dynamic,128,39.4
0.995,0.0005,0.0005,0,32,22.46
0.995,0.0005,0.0005,0,64,15.87
0.995,0.0005,0.0005,0,128,11.04
0.995,0.0005,0.0005,20,32,127.07
0.995,0.0005,0.0005,20,64,149.12
0.995,0.0005,0.0005,20,128,86.27
0.995,0.0005,0.0005,dynamic,32,171.43
0.995,0.0005,0.0005,dynamic,64,339.75
0.995,0.0005,0.0005,dynamic,128,163.14
0.995,0.0005,0.01,0,32,101.09
0.995,0.0005,0.01,0,64,10.53
0.995,0.0005,0.01,0,128,136.24
0.995,0.0005,0.01,20,32,183.25
0.995,0.0005,0.01,20,64,96.41
0.995,0.0005,0.01,20,128,172.54
0.995,0.0005,0.01,dynamic,32,176.43
0.995,0.0005,0.01,dynamic,64,356.66
0.995,0.0005,0.01,dynamic,128,117.35
0.995,0.01,0.001,0,32,106.43
0.995,0.01,0.001,0,64,497.81
0.995,0.01,0.001,0,128,151.29
0.995,0.01,0.001,20,32,204.71
0.995,0.01,0.001,20,64,72.01
0.995,0.01,0.001,20,128,184.48
0.995,0.01,0.001,dynamic,32,115.14
0.995,0.01,0.001,dynamic,64,14.2
0.995,0.01,0.001,dynamic,128,14.41
0.995,0.01,0.0001,0,32,15.06
0.995,0.01,0.0001,0,64,8.65
0.995,0.01,0.0001,0,128,6.62
0.995,0.01,0.0001,20,32,175.69
0.995,0.01,0.0001,20,64,162.52
0.995,0.01,0.0001,20,128,227.46
0.995,0.01,0.0001,dynamic,32,64.76
0.995,0.01,0.0001,dynamic,64,19.33
0.995,0.01,0.0001,dynamic,128,17.63
0.995,0.01,0.0005,0,32,75.19
0.995,0.01,0.0005,0,64,23.83
0.995,0.01,0.0005,0,128,8.14
0.995,0.01,0.0005,20,32,181.92
0.995,0.01,0.0005,20,64,227.76
0.995,0.01,0.0005,20,128,134.32
0.995,0.01,0.0005,dynamic,32,9.8
0.995,0.01,0.0005,dynamic,64,8.68
0.995,0.01,0.0005,dynamic,128,58.14
0.995,0.01,0.01,0,32,16.58
0.995,0.01,0.01,0,64,14.08
0.995,0.01,0.01,0,128,15.8
0.995,0.01,0.01,20,32,61.09
0.995,0.01,0.01,20,64,236.29
0.995,0.01,0.01,20,128,126.84
0.995,0.01,0.01,dynamic,32,23.18
0.995,0.01,0.01,dynamic,64,34.08
0.995,0.01,0.01,dynamic,128,7.47
